StartChargeSeq,TradeFlowNo,ConnectorID,StartTime,EndTime,TotalPower,TotalElecMoney,OriginSeviceMoney,TotalSeviceMoney,TotalMoney,StopReason,SumPeriod,ChargeDetails
341803223202308020124280001	,61401900000000790023080254567208	,6140190000000079001	,2023-08-02 01:23:47	,2023-08-02 01:39:12	,12.2500,2.7000,4.6600,4.6600,7.3600,,0,[],
341803223202308020033250001	,01305020101100000000003302169090759910	,008181617000000033002	,2023-08-02 00:33:25	,2023-08-02 01:49:34	,41.4700,14.5100,14.5100,14.5100,29.0200,,0,[],
341803223202308020038120001	,88304900000011310023080210189016	,8830490000001131001	,2023-08-02 00:38:57	,2023-08-02 01:49:54	,37.7500,10.2200,9.4400,9.4400,19.6600,,0,[],
341803223202308012331390001	,32405900000002350023080149228585	,3240590000000235001	,2023-08-01 23:31:47	,2023-08-02 01:56:30	,24.5200,16.3500,7.9200,7.9200,24.2700,,0,[],
341803223202308020100430001	,61413900000003470023080236615397	,6141390000000347001	,2023-08-02 00:58:17	,2023-08-02 01:55:20	,35.3700,7.8100,11.3200,11.3200,19.1300,,0,[],
341803223202308020121460001	,08705020101100000003380702169091050750	,011231151000033807002	,2023-08-02 01:21:44	,2023-08-02 02:10:43	,35.5120,12.0500,7.1000,7.1000,19.1500,,0,[],
341803223202308020136280001	,88303900000012220023080259887140	,8830390000001222001	,2023-08-02 01:36:30	,2023-08-02 02:19:55	,24.7800,5.4700,9.9100,9.9100,15.3800,,0,[],
341803223202308020221430001	,31401900000009060023080201495507	,3140190000000906001	,2023-08-02 02:21:45	,2023-08-02 02:23:03	,0.3500,0.1100,0.1400,0.1400,0.2500,,0,[],
341803223202308020233200001	,61413900000003760123080285636643	,6141390000000376001	,2023-08-02 02:33:20	,2023-08-02 02:33:45	,0.0000,0.0000,0.0000,0.0000,0.0000,,0,[],
341803223202308020102530001	,35402900000000880023080265145540	,3540290000000088001	,2023-08-02 01:01:48	,2023-08-02 02:36:17	,45.6500,17.9100,14.6100,14.6100,32.5200,,0,[],
341803223202308020235230001	,61413900000003750223080222536364	,6141390000000375002	,2023-08-02 02:35:24	,2023-08-02 02:41:42	,3.9600,0.8700,1.5800,1.5800,2.4500,,0,[],
341803223202308020243170001	,31101900000008680023080209668773	,3110190000000868001	,2023-08-02 02:43:17	,2023-08-02 02:49:30	,5.5600,1.7500,3.3400,3.3400,5.0900,,0,[],
341803223202308020207550001	,88306900000035190123080257426325	,8830690000003519001	,2023-08-02 02:07:55	,2023-08-02 02:51:00	,33.5200,11.8700,12.9100,12.9100,24.7800,,0,[],
